id,name
1,Human Resources (HR)
2,Finance
3,Marketing
4,Sales
5,Customer Service
6,Information Technology (IT)
7,Research and Development (R&D)
8,Operations
9,Legal
10,Product Development
11,Supply Chain Management
12,Public Relations (PR)
13,Corporate Communications
14,Business Development
15,Creative Services
16,Design
17,Quality Assurance (QA)
18,Training and Development
19,Facilities Management
20,Security
21,Compliance
22,Accounting
23,Strategy and Planning
24,Administration
25,Procurement
26,Health and Safety
27,Project Management
28,Client Relations
29,Event Planning
30,Data Analytics
